week_end_num,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73,A74,A75,A76,A77,A78,A79,A80+
2020.3169398907103,0.002917281830520651,0.0023192517196952167,0.0018720336968105979,0.0018564331375272125,0.002360853591780659,0.0027196711200199947,0.0019344359807302181,0.0018616333234368946,0.0021528445641883763,0.002782074421156427,0.003000486564872446,0.0020384399536850103,0.002407655737663283,0.0034269129180184016,0.002917281830520651,0.0044617914135902225,0.0039469497886402685,0.005923137329074769,0.007878596818777955,0.008804345308863735,0.011410051728448493,0.01067149493283023,0.009236020182871087,0.011800138776377622,0.009610488036446993,0.011482867755258098,0.011503672353074815,0.010005762585228615,0.010780717459976748,0.01051026209776149,0.008128235238132577,0.00868472519474094,0.008981175546833909,0.008102231180201475,0.007134889464607528,0.008247854072118593,0.007582152752366816,0.009053988172539539,0.007296111834213189,0.0076133573113537825,0.007270108192405292,0.007743376508689189,0.008279059030587392,0.009319235028401941,0.008611913086085164,0.0079774118831345,0.010255411216783925,0.006609620050255059,0.010759913151403842,0.009917345648964796,0.009761316128180634,0.009558478451078909,0.00890316213242793,0.009152805470507532,0.008944769272208542,0.010239808142200517,0.008866755912421307,0.00993814962044355,0.010026566592080932,0.007332516954591532,0.008497494264191401,0.007337717688158038,0.005548696028198445,0.005689111200059001,0.004342181288592536,0.004867427799176182,0.0039573505791006425,0.005013041632488857,0.0054550861242678925,0.004966237141599493,0.005319872116098456,0.004675010144853533,0.0054238828604055945,0.0036869307032371557,0.005798323262531595,0.006089556550493997,0.008320665671008401,0.007514542938803311,0.009516870820243991,0.010343828727871672,0.020159107087386257
2020.3360655737704,0.0040301561705664,0.001362417847750506,0.0010712110335134644,0.0011908136348706493,0.0011804133977449437,0.002043640157790284,9.672089950704858e-4,0.002002038539491907,0.0014352198061252915,0.0010244100904702265,0.0027144708483027614,0.0017472293536158062,0.0021216432818147724,0.0014300196628583084,0.0016068248255685408,0.002017639142452774,0.003380109854759449,0.0039469497886402685,0.003317705835938835,0.005865930844721004,0.006266377556829031,0.005704712909223802,0.0059959456729130785,0.0056111027244387535,0.006635623361774643,0.006380791469564156,0.006261176930416317,0.006817646906522689,0.006682429355280573,0.0059335385148102425,0.005257465769371192,0.00655761346622002,0.00557989936695659,0.004919432692832402,0.004399386096655418,0.005631904973156666,0.004649007813746687,0.0031200936037415155,0.0054238828604055945,0.005533094365837986,0.0038325412308768125,0.005059846165506341,0.005345874782669774,0.005397880154826218,0.005704712909223802,0.005761919216217912,0.00556429769523413,0.005413481776618138,0.0062351738061373,0.005231463147008865,0.0058555296725085965,0.005070247178565313,0.006677228687257503,0.004732215319060305,0.004399386096655418,0.005533094365837986,0.005439484489999141,0.004664609210849361,0.005517492708164296,0.004492994100142433,0.0035933241507815398,0.003541320583335314,0.003042088981968304,0.0029380830016271825,0.0028340772293037934,0.0022360480753789583,0.003068090509561685,0.002251648748545568,0.0021632449958065873,0.003380109854759449,0.0023400526515775636,0.003894945867543119,0.0039417493941873135,0.0035569216481055464,0.0033541081711525736,0.004695812019103001,0.005148254842817696,0.00369213107220637,0.00592833792167956,0.0043681834662727785,0.009823727880315363
2020.3551912568305,0.002917281830520651,0.0016380257990398109,0.0016068248255685408,0.0018564331375272125,0.0019708373476054787,0.0014976215658567178,0.0011024116856079911,0.0011440125841828258,0.001003609684867492,0.0017576297041079169,0.0022880503374788598,0.00131041651131466,0.0015548232447247564,0.001570423713516406,7.280050960454046e-4,0.0024492576804694376,0.002397255257160785,0.0049350341710758016,0.004284976543460163,0.005865930844721004,0.005392679615272976,0.007197298064514397,0.004076959818915024,0.006068754118689121,0.0062923806967118065,0.004524196805412104,0.006146763280864589,0.005605902163555226,0.005065046671778663,0.005205460537649154,0.004591802731076329,0.004825823921693603,0.0044461900773324365,0.004342181288592536,0.0034217125755785886,0.0053302731811678185,0.0032345005940119563,0.005028643138811854,0.004238172707881602,0.005631904973156666,0.0040301561705664,0.0036141255923162635,0.004191368914435681,0.004659408744630301,0.004087360635379416,0.00542908340308526,0.004362983029698865,0.005631904973156666,0.004524196805412104,0.0039469497886402685,0.0042589744073810495,0.004404586536875719,0.005325072648370196,0.004498194549718561,0.00470101248896849,0.00470101248896849,0.004321379555807597,0.0030108871660274915,0.004508595450436863,0.0042589744073810495,0.003759735916092501,0.003036888678013275,0.003042088981968304,0.0025688634514484925,0.0018876342607685472,0.0023348524178297934,0.001185613516044898,0.002251648748545568,0.001955236758679912,0.0019032348294126095,0.0015964245052441485,0.0023348524178297934,0.0027092705771113563,0.0032917041835359632,0.002594864742416224,0.003998953761745314,0.0022464485236385777,0.0034269129180184016,0.004139364748900522,0.004253773981728947,0.007218100947794619
2020.3743169398906,0.001388418535472331,0.0019084350199968575,0.0014716208235318897,0.001721228486489026,0.0017056279724545263,0.0014976215658567178,0.0017940309472143036,0.0015756238708242005,0.0014352198061252915,0.0011700131626993324,0.0018564331375272125,0.00232445195188862,0.00127401560675402,0.0017160283146203095,0.0017524295286047305,0.0012948161205273085,0.0018304322157966753,0.002397255257160785,0.0026260663087299776,0.0038689439265003588,0.003260502217811224,0.004092561044388847,0.005278267876625255,0.0036661292325725816,0.004232972284309839,0.0035933241507815398,0.0040977614539241345,0.004617805033578077,0.004201769753783715,0.0027040703064400047,0.0029640844772087834,0.0033749095170002483,0.003213699304331398,0.0029900859657976397,0.0024440574358006633,0.003619325954004455,0.0032345005940119563,0.002917281830520651,0.00404055697766933,0.0037545355403623185,0.0040301561705664,0.0035101184678309845,0.003458114983596041,0.0050806481937046895,0.0037649362923369853,0.003546520937736729,0.003926148213960467,0.0034685156762824733,0.0039209478215878266,0.003858543153722642,0.003281303526214121,0.0029900859657976397,0.003577723075084036,0.003260502217811224,0.0028808798011093497,0.0028808798011093497,0.0031304942288193816,0.0036869307032371557,0.0028756795132703814,0.0023660538281344377,0.001877233884274619,0.0016848272943518216,0.00232445195188862,0.002017639142452774,0.0017940309472143036,0.0014612205302433198,9.880093861184358e-4,0.00153402262694581,9.256082379355073e-4,0.0011648130459536755,0.0011700131626993324,0.001669226791232261,0.0014768209709591054,0.001710828143277401,0.0012220143587225675,0.0038273408478713415,0.0018460327672737322,0.002506460406183855,0.0031720967499333595,0.0025272614129474074,0.0053510753175478225
2020.3934426229507,0.002360853591780659,0.0014976215658567178,0.0013364171730351354,0.0011908136348706493,0.0010504106091842097,8.164064088045757e-4,0.001378018258824673,0.0011440125841828258,7.176049514830961e-4,7.332051691094672e-4,0.0017160283146203095,0.00131041651131466,0.0014144192361890769,8.580070785765575e-4,7.280050960454046e-4,4.3160179114788905e-4,0.0019708373476054787,0.0022568489739783763,0.002485659407735331,0.0026676684262789594,0.0028860800894626015,0.0022308478520263295,0.0035985245103836694,0.0036661292325725816,0.0030888917409951843,0.0029016809576542517,0.0038741443136664456,0.003187697703935032,0.003125293916023304,0.003016087467382218,0.002392055017686721,0.0029900859657976397,0.0030264880716576255,0.0026052652624425246,0.0028340772293037934,0.002516860908522644,0.0016172251479788346,0.0031200936037415155,0.002761273312456735,0.002470058664356574,0.002262049199925457,0.002787274699628602,0.002303651026246831,0.002646867363344045,0.0026884694975347276,0.00277167386576647,0.00370773218222291,0.0034685156762824733,0.00261566578454326,0.002017639142452774,0.0017732302337492335,0.002074841393360111,0.0019864379412056275,0.0027144708483027614,0.002350453120639017,0.002272449653385527,0.0014144192361890769,0.001955236758679912,0.0027196711200199947,0.0021268434942464864,0.001877233884274619,0.0017732302337492335,0.0017004278021459124,0.001378018258824673,0.0013208167744416161,0.0011700131626993324,0.0013832183968856015,0.0010244100904702265,0.0012376147276746286,9.516087072476133e-4,0.0010660109266482322,0.0011128119071272355,0.0012324146041686591,0.0015808240286462535,6.084035591650503e-4,0.002262049199925457,9.256082379355073e-4,0.0019760375449502316,0.001378018258824673,0.0016068248255685408,0.0036037248705116445
2020.4125683060108,0.0011128119071272355,0.0012272144811884878,4.0040154155076733e-4,9.256082379355073e-4,0.0018356323991003999,6.812044618983496e-4,0.0011024116856079911,0.002002038539491907,0.0018668335098608409,0.0014664206766304769,0.0025740637086042453,8.736073383242176e-4,0.0014144192361890769,9.98409584762529e-4,0.0023348524178297934,0.0012948161205273085,0.0012688154796136482,0.0028184763814001475,0.0013832183968856015,0.003068090509561685,0.002506460406183855,0.003224099948131548,0.002516860908522644,0.0021736454295049716,0.0029744850710829926,0.00255326268311309,0.0028444777971750983,0.0023088512568800955,0.0028028755381770093,0.003224099948131548,0.0025792639662742755,0.0018304322157966753,0.0023660538281344377,0.002028039547028811,0.0020540405675667285,0.002111242858517245,0.0024284567049030854,0.0027144708483027614,0.0021684452123986444,0.0025688634514484925,0.001669226791232261,0.002272449653385527,0.002095642227474157,0.0029640844772087834,0.0021528445641883763,0.0031044926700280707,0.0026208660463794796,0.0026000650021664614,0.002314051488027633,0.001653626292798774,0.0022204474068869785,0.0014976215658567178,0.002303651026246831,0.001783630589441697,0.0020488403624213725,0.001518422169069036,0.001788830768065096,0.001955236758679912,0.0013208167744416161,0.0022880503374788598,0.0016328256354974048,0.0014352198061252915,8.060062465617456e-4,0.002204846743081171,8.476069080134612e-4,8.736073383242176e-4,6.916045991804607e-4,0.0011232121307323422,7.228050235071297e-4,0.0013728181212779988,9.568088026666271e-4,3.3280106496256736e-4,7.384052426877714e-4,0.001710828143277401,0.0015236223211765214,0.0013936186745733149,6.604041935742898e-4,0.0015808240286462535,0.001378018258824673,0.0011492126988483903,0.0026780689608667365
2020.431693989071,9.724090920553305e-4,6.812044618983496e-4,0.0016068248255685408,0.0011908136348706493,0.0015756238708242005,0.0021788456471371156,0.001378018258824673,0.001003609684867492,0.0018668335098608409,8.788074259429569e-4,0.0014300196628583084,5.824032614637801e-4,0.0018408325829299343,0.0012844158626006128,0.0024804591594204378,0.001586024186994111,0.0022568489739783763,0.0028184763814001475,0.002210046963827805,0.002002038539491907,0.001882434072264451,0.003348907835987936,0.002397255257160785,0.002293250566546213,0.0028600786528853693,0.0029016809576542517,0.002735271938280475,0.0013208167744416161,0.0017264286588720033,0.00218404586528353,0.002392055017686721,0.0017368290052038353,0.0017940309472143036,8.684072512197225e-4,0.0010764111408929447,0.0012064139944565,0.0017160283146203095,0.0018096314877705962,0.0019708373476054787,0.0012844158626006128,0.0014716208235318897,0.0017524295286047305,0.002095642227474157,0.001586024186994111,0.0021528445641883763,0.002438857191646164,0.0014196193778902011,0.0013000162502735818,0.0018096314877705962,0.002017639142452774,0.0011544128140282045,0.0015808240286462535,9.516087072476133e-4,0.0013988188142001,0.0010608108203087946,0.001362417847750506,0.0011908136348706493,9.776091895544216e-4,5.460028665213333e-4,7.904060071005078e-4,0.0013052163805341078,7.59205542212683e-4,0.0010712110335134644,0.0011024116856079911,8.476069080134612e-4,5.824032614637801e-4,4.940023465146336e-4,2.0280039545820006e-4,6.188036818867976e-4,6.34403869872398e-4,7.436053167918634e-4,8.892076027462617e-4,3.692013106681607e-4,2.6520067626126557e-4,4.576020134534245e-4,5.200026000149668e-4,5.304027050563269e-4,9.204081456366061e-4,0.0011024116856079911,8.060062465617456e-4,0.0016068248255685408
2020.450819672131,0.001669226791232261,0.0012272144811884878,0.0010712110335134644,0.001721228486489026,0.0014456200942135706,0.0027196711200199947,0.002210046963827805,0.0011440125841828258,0.0018668335098608409,8.788074259429569e-4,0.0017160283146203095,0.0018928344497984545,0.0017004278021459124,0.001570423713516406,0.0013156166426210114,0.00144041994990653,0.001549623089497087,0.0018304322157966753,0.0012428148516948493,0.0017316288317807886,0.001882434072264451,0.0027300716650088515,0.002158044779740347,0.003322906167983072,0.002059240773237899,0.0031304942288193816,0.002392055017686721,0.002199646522854582,0.0026936697666516906,0.0016640266245696565,0.0011492126988483903,0.0015444229347952216,0.0017940309472143036,0.001253215101301139,0.0020540405675667285,0.0018096314877705962,0.0017160283146203095,0.001710828143277401,0.0015756238708242005,0.001778430411332561,0.0011804133977449437,0.0013416173069358463,0.0011544128140282045,0.001586024186994111,0.0010764111408929447,9.98409584762529e-4,0.00131041651131466,0.0017316288317807886,0.0018096314877705962,9.204081456366061e-4,0.00150802186641993,9.98409584762529e-4,0.0011908136348706493,0.0010868113572177433,0.0010608108203087946,0.0010608108203087946,0.0011180120186726644,0.0010556107144836049,0.0013208167744416161,5.51202921379175e-4,0.0012272144811884878,5.044024463558912e-4,8.060062465617456e-4,6.448039977942706e-4,5.668030890843131e-4,4.888022973769063e-4,9.880009386007336e-5,4.10801622665926e-4,5.148025482771891e-4,5.304027050563269e-4,5.304027050563269e-4,3.3280106496256736e-4,6.188036818867976e-4,5.252026522785282e-4,4.576020134534245e-4,6.968046686044236e-4,6.604041935742898e-4,2.6520067626126557e-4,6.916045991804607e-4,9.204081456366061e-4,0.0015652235567344159
2020.4699453551912,0.0022256476291995183,0.001362417847750506,0.002808075818729408,0.001721228486489026,0.00210084243730566,0.0028600786528853693,0.001378018258824673,0.0027196711200199947,0.002438857191646164,0.002636466834996906,0.0025740637086042453,0.002470058664356574,0.0021216432818147724,0.0035725227175621927,0.002917281830520651,0.003312505504420438,0.0032397009177293707,0.0021164430699088742,0.003042088981968304,0.004134164335210349,0.004388985217780854,0.0029796853688030733,0.003000486564872446,0.004695812019103001,0.0034321132609840565,0.003250101566730168,0.0040977614539241345,0.0034061115513737876,0.0023712540650024897,0.002496059905919493,0.0026780689608667365,0.003567322360554648,0.002267249426398356,0.003182497385412486,0.002932882708067575,0.0035205191709188123,0.003738934416303768,0.0028184763814001475,0.0023660538281344377,0.002766473588848688,0.0037337340426538855,0.003099292359832304,0.003983352564350079,0.0029640844772087834,0.004087360635379416,0.0029900859657976397,0.003270902870972542,0.0018408325829299343,0.003416512233653071,0.0031200936037415155,0.0029276824150337995,0.0017472293536158062,0.0018304322157966753,0.0016276254724692577,0.00144041994990653,0.0010608108203087946,8.216064907089019e-4,0.0014300196628583084,0.0013988188142001,0.0014196193778902011,0.0010608108203087946,0.0010140098866259321,7.176049514830961e-4,5.51202921379175e-4,0.0010400104001397088,9.724090920553305e-4,8.892076027462617e-4,6.136036202688044e-4,5.148025482771891e-4,2.1320043705866555e-4,8.528069930378874e-4,6.656042598781713e-4,4.940023465146336e-4,7.904060071005078e-4,9.1520805385195e-4,0.0013936186745733149,0.0011908136348706493,7.904060071005078e-4,4.1600166400929074e-4,0.0010348102963946028,0.00131041651131466
2020.4890710382513,0.0011128119071272355,0.0012272144811884878,0.0029432832957010753,0.0015912243458562276,0.00131041651131466,0.0021788456471371156,0.001653626292798774,0.0015756238708242005,0.003016087467382218,0.002199646522854582,0.0018564331375272125,0.00232445195188862,0.0018408325829299343,9.98409584762529e-4,0.0024804591594204378,0.001586024186994111,0.002111242858517245,0.0029588841810546545,0.0016588264584213117,0.002267249426398356,0.0017576297041079169,0.0022308478520263295,0.0017992311268777742,0.0025220611604778874,0.003203298662611505,0.003250101566730168,0.002506460406183855,0.0035153188191119765,0.002584464224470131,0.0038533427681110123,0.00277167386576647,0.0029900859657976397,0.002080041601111447,0.0022204474068869785,0.002932882708067575,0.00261566578454326,0.0032345005940119563,0.002111242858517245,0.002761273312456735,0.002766473588848688,0.0028496780818937227,0.0019604369544703195,0.002095642227474157,0.002012438940941929,0.0034425139484697983,0.00277167386576647,0.0024024554971491235,0.0019500365634153166,0.002314051488027633,0.002293250566546213,0.002397255257160785,0.0024908596565645005,0.00127401560675402,0.0013988188142001,0.0017420291791526898,0.00144041994990653,0.001788830768065096,0.001653626292798774,0.001788830768065096,8.684072512197225e-4,8.164064088045757e-4,8.424068235148251e-4,8.944076919308274e-4,0.001378018258824673,2.808007581650308e-4,8.736073383242176e-4,8.892076027462617e-4,5.096024970536484e-4,4.10801622665926e-4,7.384052426877714e-4,2.1320043705866555e-4,4.4720192297233825e-4,6.188036818867976e-4,2.6520067626126557e-4,6.084035591650503e-4,0.0010452105043990622,5.304027050563269e-4,7.904060071005078e-4,6.916045991804607e-4,5.720031460221995e-4,9.98409584762529e-4
2020.5081967213114,0.001253215101301139,0.0023192517196952167,0.002542862173487819,0.002516860908522644,0.0017056279724545263,0.0016328256354974048,0.0034477142929898856,0.0017160283146203095,0.0015808240286462535,0.0016120249865165582,0.0024284567049030854,0.0014560203843819654,0.0011336123564175387,0.0012844158626006128,0.0018980346393426264,0.0018720336968105979,0.0022568489739783763,0.0016900274630945603,0.0017992311268777742,0.002267249426398356,0.0030108871660274915,0.0017368290052038353,0.0043161791239144645,0.0028652789391583914,0.002516860908522644,0.003478916371049182,0.003073290816637081,0.0023088512568800955,0.002584464224470131,0.002808075818729408,0.0035361202294481955,0.002698870036282934,0.0017940309472143036,0.0028964806677350525,0.0011700131626993324,0.0027144708483027614,0.0016172251479788346,0.00150802186641993,0.002563663194818565,0.001185613516044898,0.0017680300566801682,0.002376454302396363,0.002095642227474157,0.0034945174171026557,0.00150802186641993,0.0025480624280375427,0.0029432832957010753,0.0018408325829299343,0.002012438940941929,0.001196013754210651,0.0020384399536850103,0.0018304322157966753,0.00150802186641993,0.0012428148516948493,9.880093861184358e-4,9.880093861184358e-4,0.0010452105043990622,8.268065731274711e-4,0.0010868113572177433,7.904060071005078e-4,9.828092875793055e-4,0.001097211575622629,7.176049514830961e-4,5.51202921379175e-4,6.604041935742898e-4,7.800058500578373e-4,6.916045991804607e-4,5.096024970536484e-4,5.148025482771891e-4,3.172009674643959e-4,5.304027050563269e-4,4.4720192297233825e-4,8.632071646410181e-4,2.6520067626126557e-4,3.068009050637224e-4,8.684072512197225e-4,6.604041935742898e-4,6.604041935742898e-4,2.7560073034184584e-4,9.204081456366061e-4,8.944076919308274e-4
2020.5273224043715,0.0015288224737982639,0.0028600786528853693,0.0017368290052038353,0.0018564331375272125,0.0017056279724545263,0.0012272144811884878,0.0019344359807302181,0.001003609684867492,0.001721228486489026,0.0019032348294126095,0.002002038539491907,0.00131041651131466,8.476069080134612e-4,0.0012844158626006128,0.0014612205302433198,0.00144041994990653,0.001549623089497087,0.0019760375449502316,0.0012428148516948493,0.003198098342534541,0.002007238739956898,0.003224099948131548,0.0016796271261233435,0.002059240773237899,0.0024024554971491235,0.0020852418093770505,0.0019344359807302181,0.00209044201816847,0.0035569216481055464,0.0014560203843819654,0.002392055017686721,0.002028039547028811,0.0019864379412056275,0.002412855978691718,0.002636466834996906,0.0012064139944565,0.0018200318507435628,0.00131041651131466,0.0012792157344201902,0.0014820211189005771,0.001570423713516406,0.001653626292798774,0.001570423713516406,0.001378018258824673,0.0019344359807302181,0.0017732302337492335,0.001965637150774993,0.0018408325829299343,0.001003609684867492,0.0017420291791526898,9.776091895544216e-4,0.001331217039648678,0.00127401560675402,0.0010868113572177433,7.59205542212683e-4,4.5240196794999024e-4,0.0013416173069358463,6.032034985870817e-4,6.968046686044236e-4,4.732021530722362e-4,8.996077816296376e-4,9.256082379355073e-4,7.176049514830961e-4,6.448039977942706e-4,5.668030890843131e-4,3.9000146250986754e-4,5.928033789854071e-4,7.176049514830961e-4,6.188036818867976e-4,8.476069080134612e-4,6.396039335704413e-4,6.656042598781713e-4,8.632071646410181e-4,3.9520150176742684e-4,3.068009050637224e-4,3.4840116714657195e-4,6.604041935742898e-4,5.252026522785282e-4,4.1600166400929074e-4,0.0010348102963946028,6.552041277961948e-4
